No.,Title,Author,Collection,Year,Contributors,"Degree name","Degree Discipline",Faculty/College
68,"การพัฒนาพันธุ์ข้าวโพดหวานพิเศษเพื่อเพิ่มคุณภาพและคุณค่าเชิงอาหารสุขภาพ: รายงานวิจัยฉบับสมบูรณ์","พรชัย หาระโคตร, สกุลกานต์ สิมลา, พลัง สุริหาร, กมล เลิศรัตน์, Bhornchai Harakotr, Sakunkan Simla, Bhalang Suriharn, Kamol Lertrat","Thammasat University Research",2020,มหาวิทยาลัยธรรมศาสตร์,-,-,-
69,"การวิเคราะห์ความช่วยเหลือด้านการศึกษาของจีนต่อกัมพูชาในทศวรรษ 2010: รายงานวิจัยฉบับสมบูรณ์","อำพา แก้วกำกง","Thammasat University Research",2020,-,-,-,-
70,"การพัฒนาเศรษฐกิจและสังคมสู่ประเทศไทย 4.0: ความท้าทายใหม่ การปรับตัว และข้อเสนอแนะเชิงนโยบาย: รายงานวิจัยฉบับสมบูรณ์ โครงการหลัก","หงษ์ฟ้า ทรัพย์บุญเรือง, ภูวิน บุณยะเวชชีวิน","Thammasat University Research",2020,-,-,-,-
﻿71,"การพัฒนาเมืองอัจฉริยะของญี่ปุ่น: บทเรียนสำหรับประเทศไทย: รายงานวิจัยฉบับสมบูรณ์ โครงการวิจัยย่อยลำดับที่ 3","นิรินธร มีทรัพย์นิคม, อรวรรณ นักปราชญ์, ภูวิน บุณยะเวชชีวิน","Thammasat University Research",2020,-,-,-,-
72,"การทูตกีฬาของญี่ปุ่น จีน และเกาหลีใต้: บทเรียนสำหรับไทย: รายงานวิจัยฉบับสมบูรณ์","จินตวัฒน์ ศิริรัตน์","Thammasat University Research",2020,-,-,-,-
73,"การวิเคราะห์การพัฒนาโครงการหนึ่งตำบลหนึ่งผลิตภัณฑ์ (OTOP): ข้อเสนอแนะเชิงนโยบายภายใต้ยุทธศาสตร์ไทยแลนด์ 4.0: รายงานฉบับสมบูรณ์ โครงการย่อยลำดับที่ 1","ยุพิน คล้ายมนต์, วทัญญู ใจบริสุทธิ์","Thammasat University Research",2020,-,-,-,-
74,"The quest for soft power in Southeast Asia","Kitti Prasirtsuk","Thammasat University Research",2020,-,-,-,-
75,"การกำกับดูแลการแข่งขัน (competition regulation) ในธุรกิจแพลตฟอร์มหลายมิติ (multi-sided platforms) ในประเทศไทย: โครงการวิจัย: รายงานการวิจัย","ภูรี สิรสุนทร, ศุพฤฒิ ถาวรยุติการต์","Thammasat University Research",2022,-,-,-,-
76,"ไทยกับรัฐบาลกั๋วหมินตั่งที่ไต้หวัน: จากพันธมิตรในสงครามเย็นสู่ความสัมพันธ์ที่ไม่เป็นทางการ (ค.ศ. 1949-1994 ): รายงานการวิจัย","สิทธิพล เครือรัฐติกาล, Sitthiphon Kruarattikan","Thammasat University Research",2023,-,-,-,-
77,"วัตถุกับชีวิต: รายงานวิจัยฉบับสมบูรณ์","มงคล สุวรรณชาตรี, Mongkhol Suwanchatri","Thammasat University Research",2021,-,-,-,-
78,"โครงการการพัฒนาชุดกิจกรรมเกมค้าข้าวเพื่อใช้ในการสอนเรื่องอุปสงค์ อุปทาน และตลาดในวิชาเศรษฐศาสตร์ของกลุ่มประสบการณ์การเรียนรู้มนุษย์กับสังคมในระดับชั้นมัธยมศึกษาตอนต้น โรงเรียนสาธิตแห่งมหาวิทยาลัยธรรมศาสตร์: รายงานวิจัยฉบับสมบูรณ์","ธีรภาพ แซ่เซี่ย","Thammasat University Research",2021,-,-,-,-
79,"สิทธิชุมชนในการจัดสรรทรัพยากรน้ำโดยใช้แนวทางสันติวิธี: กรณีศึกษาพื้นที่ต้นน้ำของประเทศไทย: รายงานการศึกษาวิจัยฉบับสมบูรณ์","อำพา แก้วกำกง, จำเนียร ผะคังคิว, วีรวิชญ์ วิริย์ภิรมกุล, อภิญญา ดิสสมาน","Thammasat University Research",2021,สถาบันวิจัยและให้คำปรึกษาแห่งมหาวิทยาลัยธรรมศาสตร์,-,-,-
80,"ความร่วมมือด้านฟุตบอลระหว่างไทยกับญี่ปุ่นในปัจจุบัน: เศรษฐกิจ ภาพลักษณ์ และการพัฒนา: รายงานฉบับสมบูรณ์","จินตวัฒน์ ศิริรัตน์","Thammasat University Research",2020,-,-,-,-
﻿81,"ความช่วยเหลือด้านการศึกษาของเกาหลีใต้ต่อกัมพูชาในทศวรรษ 2010: วิเคราะห์คุณลักษณะและการดำเนินงาน: รายงานผลการวิจัย","อำพา แก้วกำกง, เมค ซัมโพ, Ampa Kaewkumkong, Mech Samphors","Thammasat University Research",2022,-,-,-,-
82,"กระบวนการพัฒนาหลักสูตรสถานศึกษาฐานสมรรถนะของโรงเรียนนำร่องในพื้นที่นวัตกรรมการศึกษา: รายงานฉบับสมบูรณ์","พลรพี ทุมมาพันธ์, กัญญ์ฐิตา ศรีภา, สุรวิทย์ อัสสพันธุ์, ศราวุธ จอมนำ","Thammasat University Research",2022,สถาบันวิจัยและให้คำปรึกษาแห่งมหาวิทยาลัยธรรมศาสตร์,-,-,-
83,โครงการวิจัยเพื่อติดตามและประเมินผลโครงการผลิตครูเพื่อพัฒนาท้องถิ่นภาคตะวันออก,"พลรพี ทุมมาพันธ์, อัครา เมธาสุข, ณัฐวัฒน์ วัชรจิตตานนท์, ศราวุธ จอมนำ, ศิริวรรณ บุญอนันต์","Thammasat University Research",2022,"มนตรี แย้มกสิกร",-,-,-
84,"ความหมายทางการเมืองในเฟซบุ๊ก เพจไข่แมว x","นันทพร วงษ์เชษฐา, Nantaporn Wongchestha","Thammasat University Research",2022,-,-,-,-
85,การสื่อสารเชิงกลยุทธ์ของกิจการเพื่อสังคมในประเทศไทย,"พีรยุทธ โอรพันธ์","Thammasat University Research",2022,-,-,-,-
86,"Newsroom alert: การตรวจสอบข่าวปลอมของห้องข่าวไทย: รายงานวิจัย","วิไลวรรณ จงวิไลเกษม","Thammasat University Research",2021,-,-,-,-
87,"การนำเสนอข่าวการฆ่าตัวตายในสังคมไทย: ถอดรหัสการสื่อสารผ่านสื่อในยุคดิจิทัล","นิธิดา แสงสิงแก้ว, Nitida Sangsingkeo","Thammasat University Research",2022,-,-,-,-
88,"การจัดการของสื่อสถาบันที่นำเสนอเนื้อหาประเภทเรื่องจริงที่ไม่เป็นความจริงแท้: รายงานวิจัย","รุจน์ โกมลบุตร","Thammasat University Research",2022,-,-,-,-
89,"การใช้องค์ประกอบในการออกแบบโฆษณาที่มีประสิทธิภาพเพื่อสื่อความหมายในสื่อนอกบ้าน: โปสเตอร์ของประเทศไทย","สมัชชนันท์ เอกปัญญากุล, Smuchanan Ekapanyakul","Thammasat University Research",2020,-,-,-,-
90,"ความรู้เท่าทันสื่อประเภทข่าวการเปลี่ยนแปลงสภาพภูมิอากาศของคนในเมืองใหญ่: ความสัมพันธ์ของปัจจัยด้านความรู้คิด: รายงานการวิจัยฉบับสมบูรณ์","ดวงแก้ว เธียรสวัสดิ์กิจ","Thammasat University Research",2021,-,-,-,-
﻿91,"การจัดการอัตลักษณ์ลูกบนเฟซบุ๊กแฟนเพจโดยพ่อแม่ที่เป็นผู้มีอิทธิพลทางความคิดบนโลกออนไลน์: รายงานวิจัย","พรรณวดี ประยงค์, กานตชาติ เรืองรัตนอัมพร","Thammasat University Research",2020,-,-,-,-
92,"ภาพแทนชายหญิงผู้ป่วยไข้กับการเปลี่ยนผ่านทางสังคมในวรรณกรรมจีนสมัยใหม่: รายงานวิจัยฉบับสมบูรณ์","รัชกฤช วงษ์วิลาศ","Thammasat University Research",2021,-,-,-,-
93,"ประสิทธิผลของโปรแกรมพัฒนากรอบความคิดแบบผู้ประกอบการของผู้ประกอบการในธุรกิจการท่องเที่ยว: รายงานการวิจัย","ชัยยุทธ ถาวรานุรักษ์","Thammasat University Research",2022,-,-,-,-
94,"ที่ตั้ง แหล่งความรู้ภายนอกกับนวัตกรรมของบริษัทในประเทศไทย: ร่างรายงานวิจัย","ณัฐพล แสงอรุณ, ภาคภูมิ ทิพคุณ, ปาณิศา วิชุพงษ์","Thammasat University Research",2023,-,-,-,-
95,การบริหารกิจกรรมนันทนาการเชิงพื้นที่สำหรับหมู่บ้านท่องเที่ยวเชิงนิเวศตามการจัดช่วงชั้นโอกาสนันทนาการด้วยการสังเคราะห์องค์ความรู้จากงานวิจัยการสื่อสารชุมชนและระบบภูมิสารสนเทศเพื่อการท่องเที่ยวอย่างยั่งยืนในหมู่บ้านท่องเที่ยวจังหวัดลำปาง,"วัลลภ ทองอ่อน, สายฝน สุเอียนเมธี, เพ็ญศิริ พันพา, Wallop Thong-on, Saifon Su-indramedhi, Pensiri Panpa","Thammasat University Research",2021,-,-,-,-
96,"มาตรการทางกฎหมายเพื่อรองรับการปลดระวางถ่านหินในประเทศไทย: รายงานวิจัย","ภาคภูมิ โลหวริตานนท์","Thammasat University Research",2024,-,-,-,-
97,"ความสัมพันธ์ระหว่างอาณาจักรล้านนากับจีนจากหลักฐานเครื่องถ้วยจีนที่พบจากแหล่งโบราณคดีในภาคเหนือของประเทศไทย: รายงานวิจัยฉบับสมบูรณ์","โขมสี มีภักดี, Khomsi Meepukdee","Thammasat University Research",2022,-,-,-,-
98,"การพัฒนาต้นแบบระบบกระจายยาสมุนไพรเพื่อยกระดับการเข้าถึงยาสมุนไพรในการป้องกันและส่งเสริมสุขภาพ: รายงานวิจัย","ธนัชพรรณ เพ็ชรรัตน์","Thammasat University Research",2024,-,-,-,-
99,"โครงการออกแบบการจัดการเรียนการสอนแบบเชิงรุกโดยนำทักษะการสืบเสาะหาความรู้สำหรับวิชาเคมีในชีวิตประจำวัน (TSS103) ในระดับชั้นมัธยมศึกษาปีที่ 4 โรงเรียนสาธิตแห่งมหาวิทยาลัยธรรมศาสตร์: รายงานวิจัยฉบับสมบูรณ์","สิทธิกร จันทร์เจริญฤทธิ์, ศิริวรรณ บุญอนันต์","Thammasat University Research",2020,-,-,-,-
100,"การศึกษาอัตลักษณ์ความเป็นจีนที่เปลี่ยนแปลงไปในสังคมไทย: กรณีศึกษาครูชาวไทยในโรงเรียนสาธิตแห่งมหาวิทยาลัยธรรมศาสตร์: รายงานวิจัย","ปริญญา มงคลพาณิชย์, ชุติมา เข็มเจริญ","Thammasat University Research",2021,-,-,-,-
﻿101,"การศึกษาเปรียบเทียบคำสแลงจีนและไทยที่ปรากฏบนโลกออนไลน์และสื่อสิ่งพิมพ์ไทยและจีน: รายงานวิจัย","ชุติมา เข็มเจริญ, ปริญญา มงคลพาณิชย์","Thammasat University Research",2020,"กรพนัช ตั้งเขื่อนขันธ์",-,-,-
102,"ความสัมพันธ์ระหว่างภาษากับการสะท้อนคิดในสถานการณ์การสนทนาการสอนเป็นทีมในวิชาภาษาไทยและภาษาอังกฤษของนักเรียนระดับมัธยมศึกษาตอนปลาย: รายงานการวิจัยฉบับสมบูรณ์","จิรภัทร ศรีสุข, ชุณพฤทธิ์กร จิรบวรกิจ","Thammasat University Research",2024,-,-,-,-
103,"กลวิธีทางภาษาที่ใช้ในการสะท้อนคิดในสถานการณ์การสนทนาการเรียนรู้วิชาภาษาไทยและภาษาอังกฤษของนักเรียนระดับมัธยมศึกษาตอนปลาย: รายงานการวิจัยฉบับสมบูรณ์","ชุณพฤทธิ์กร จิรบวรกิจ, จิรภัทร ศรีสุข","Thammasat University Research",2023,-,-,-,-
104,"กรุงเทพฯ คำฉันท์: การสร้างสรรค์เนื้อหาและกลวิธีทางวรรณศิลป์กับการนำเสนอแนวคิดเรื่องความรักชาติ: รายงานวิจัยฉบับสมบูรณ์","ศักดิ์ชัย ตระกูลเลิศงาม","Thammasat University Research",2024,-,-,-,-
105,การเรียนรู้ผ่านเกมในคาบกิจกรรมประจำชั้น,"เกียรติศักดิ์ แสงอรุณ, ชุติมา เข็มเจริญ","Thammasat University Research",2023,-,-,-,-
106,"โครงการจ้างที่ปรึกษาเพื่อศึกษาและพัฒนาแผนยกระดับ TSC และปรับปรุงระบบ e-PP: รายงานฉบับสมบูรณ์","มานิต สาธิตสมิตพงษ์, ชยกฤต อัศวธิตานนท์, พีระ เจริญพร, อัจฉรา ภูอ่าง, ณัฐวรรธน์ ศรีสุข","Thammasat University Research",2024,สถาบันวิจัยและให้คำปรึกษาแห่งมหาวิทยาลัยธรรมศาสตร์,-,-,-
107,"ก้าวสำคัญเพื่อการพัฒนากฎหมายคุ้มครองผู้บริโภคในการพาณิชย์อิเล็กทรอนิกส์ของประเทศไทย: รายงานวิจัย","จุฑามาศ ถิระวัฒน์","Thammasat University Research",2024,-,-,-,-
108,"สังข์ศิลป์ชัย: ลักษณะร่วมและการสร้างสรรค์จากบทละครนอกแบบหลวง: รายงานวิจัยฉบับสมบูรณ์","ศักดิ์ชัย ตระกูลเลิศงาม","Thammasat University Research",2024,-,-,-,-
109,"การศึกษามุมมองที่มีต่ออัตลักษณ์จีนในสังคมไทยของนักเรียนระดับชั้นมัธยมศึกษาตอนปลาย โรงเรียนสาธิตแห่งมหาวิทยาลัยธรรมศาสตร์: รายงานวิจัยฉบับสมบูรณ์","ปริญญา มงคลพาณิชย์, ชุติมา เข็มเจริญ","Thammasat University Research",2022,-,-,-,-
110,"การศึกษาโอกาสและศักยภาพการส่งออกผลไม้ของประเทศไทยไปจีนผ่านด่านเชียงของจังหวัดเชียงราย ภายหลังการเปิดใช้เส้นทางรถไฟคุนหมิง-เวียงจันทน์:  รายงานการวิจัยฉบับสมบูรณ์","ศิวริน เลิศภูษิต, พิทยา สุวคันธ์, ธีรภัท ชัยพิพัฒน์","Thammasat University Research",2022,-,-,-,-
﻿111,"การแก้ไขเพิ่มเติมคำนิยาม ""ผู้บริโภค"" ในพระราชบัญญัติคุ้มครองผู้บริโภค พ.ศ. 2522: แนวทางสู่การยกระดับการคุ้มครองผู้บริโภคในประเทศไทย: รายงานฉบับสมบูรณ์","จุฑามาศ ถิระวัฒน์, Juthamas Thirawat","Thammasat University Research",2024,-,-,-,-
112,"Social class, social capital, and social comparison on social media among young adults in Thailand","Kamolmas Chanvised, กมลมาศ ชาญวิเศษ","Thammasat University Research",2024,-,-,-,-
113,"โครงการการพัฒนาชุดกิจกรรมในวิชาเศรษฐศาสตร์เพื่อเสริมสร้างทักษะทางการเงินสำหรับนักเรียนในระดับมัธยมศึกษาชั้นปีที่ 3: รายงานวิจัยฉบับสมบูรณ์","ธีรภาพ แซ่เชี่ย","Thammasat University Research",2024,-,-,-,-
114,"ละครโทรทัศน์ศึกษา: การสำรวจสถานภาพของงานวิจัยว่าด้วยละครโทรทัศน์ไทย (พ.ศ. 2545-2564): รายงานวิจัย","สมสุข หินวิมาน","Thammasat University Research",2024,-,-,-,-
115,"ความตายในภาพยนตร์ผีไทยในทศวรรษที่ 2550-ต้นทศวรรษที่ 2560: รายงานวิจัย","กำจร หลุยยะพงศ์","Thammasat University Research",2024,-,-,-,-
116,"บันทึกเบื้องหลังการผลิตภาพยนตร์สั้น ‘Rhizome’","จักรวาล นิลธำรงค์, Jakrawal Nilthamrong","Thammasat University Research",2024,-,-,-,-
117,"Social mobile learning with 21st century learning for Thailand education 4.0: research report","Funk, Sascha H., Wang, Ray Ting-Chun","Thammasat University Research",2024,-,-,-,-
118,"A conversation analysis of students self-repair in an English class","Sumita Supakorn, สุมิตา สุภาภรณ์","Thammasat University Research",2024,-,-,-,-
119,"การใช้สื่อสังคมออนไลน์สะท้อนภาวะซึมเศร้าของผู้ใช้งานวัยรุ่น: รายงานวิจัย","กมลมาศ ชาญวิเศษ, อรรคพล วงศ์กอบลาภ","Thammasat University Research",2024,-,-,-,-
120,"การพัฒนาสื่อการเรียนรู้ ชุดขุดค้นหลักฐานมนุษย์ในยุคสังคมเกษตรกรรม: รายงาน","จันทร์ธิดา สังขจันทร์","Thammasat University Research",2023,-,-,-,-
﻿121,"การสำรวจ การถอดบทเรียน และการพัฒนาศักยภาพการใช้โดรนเพื่อการเกษตร: กรณีศึกษากลุ่มเกษตรกรนาแปลงใหญ่ในจังหวัดสุพรรณบุรี: โครงการวิจัย","ทรงชัย ทองปาน, กฤชญาณ อินทรัตน์","Thammasat University Research",2024,-,-,-,-
122,"Expression of P-glycoprotein in normal cervical tissue and cervical cancer tissue","Sitakan Natphopsuk, Rungrawee Mongkolrob, Wannapa Ishida, ศีตกานต์ นัดพบสุข, รุ่งรวี มงคลรบ, วรรณภา อิชิดะ","Thammasat University Research",2020,-,-,-,-
123,พลิกโฉมฐานรากสังคมไทยด้วยนวัตกรรมท้องถิ่น,"ธัชเฉลิม สุทธิพงษ์ประชา, อัชกรณ์ วงศ์ปรีดี","Thammasat University Research",2020,"สำนักงานปลัดสำนักนายกรัฐมนตรี. สำนักงานคณะกรรมการการกระจายอำนาจให้แก่องค์กรปกครองส่วนท้องถิ่น, สถาบันบัณฑิตพัฒนบริหารศาสตร์. ศูนย์บริการวิชาการ",-,-,-
124,"โครงการสังเคราะห์ข้อเสนอและออกแบบเชิงนโยบายการถ่ายโอนโรงพยาบาลส่งเสริมสุขภาพตำบลให้องค์การบริหารส่วนจังหวัด: รายงานวิจัยฉบับสมบูรณ์","ธัชเฉลิม สุทธิพงษ์ประชา, ราเมช, เอ็ม., Tatchalerm Sudhipongpracha, Ramesh, M.","Thammasat University Research",2021,"วิทยา โชคเศรษฐกิจ, ภัควัฒน์ ภูริพงศ์ธนวัต, อุกฤษณ์ กฤตยโสภณ, ณฐนภ ศรัทธาธรรม, เยาววัลยา อ่อนโพธิ์ทอง, Wittaya Chotsetakij, Pakawat Phuripongthanawat, Ukkrit Kittayasophon, Nathanop Satthatham, Yaowawanya Onphothong",-,-,-
125,"การศึกษาวิจัยประสิทธิผล ปัญหาและอุปสรรคของการบังคับใช้พระราชบัญญัติโรคติดต่อ พ.ศ. 2558: รายงานฉบับสมบูรณ์","ธัชเฉลิม สุทธิพงษ์ประชา, อัชกรณ์ วงศ์ปรีดี, นิรมัย พิศแข มั่นจิตร, แสงเดือน มูลสม, ภัชร์จิรัสม์ ธัชเมฆรัตน์, Tatchalerm Sudhipongpracha, Achakorn Wongpreedee, Niramai Phitkhae Manjit, Saengduen Moonsom, Pachjirat Thachmakerat","Thammasat University Research",2022,"ภัควัฒน์ ภูริพงศ์ธนวัต, อุกฤษณ์ กฤตยโสภณ, ณฐนภ ศรัทธาธรรม, เยาววัลยา อ่อนโพธิ์ทอง, Pakawat Phuripongthanawat, Ukkrit Kittayasophon, Nathanop Satthatham, Yaowawanya Onphothong",-,-,-
126,"การย้ายข้อมูลด้านสุขภาพของประเทศไทยสู่ระบบข้อมูลขนาดใหญ่ (big data) และการแสดงผลข้อมูล: รายงานวิจัยฉบับสมบูรณ์","สมเกียรติ โกศลสมบัติ","Thammasat University Research",2024,"Somkiat Kosolsombat",-,-,-
127,"การศึกษาโครงการหนึ่งตำบลหนึ่งผลิตภัณฑ์ (OTOP) ของไทยและโครงการหนึ่งหมู่บ้านหนึ่งผลิตภัณฑ์ (OVOP) ของญี่ปุ่น: วิเคราะห์เปรียบเทียบด้วยแนวคิดทุนทางสังคม: รายงานวิจัย","วทัญญู ใจบริสุทธิ์","Thammasat University Research",2020,-,-,-,-
128,"การตรวจสอบคุณภาพของผลิตภัณฑ์ถั่งเช่า (เส้นใย) ที่จำหน่ายเชิงพาณิชย์: รายงานการวิจัย","จินดา หวังบุญสกุล, สุรัตนา อำนวยผล, ภารดี แสงวัฒนกุล","Thammasat University Research",2020,-,-,-,-
129,"Documenting and archiving the upper-northern Thai disaster-lore in the digital database","Nakai, Senjo, นะไก, เซ็นโจ","Thammasat University Research",2020,"Thammasat University. Faculty of Journalism and Mass Communication",-,-,-
130,"ประเทศไทย 4.0: ความร่วมมือด้านระบบรางระหว่างไทย-ญี่ปุ่น และไทย-จีน: โครงการวิจัยย่อยลำดับที่ 2: รายงานวิจัยฉบับสมบูรณ์","หงษ์ฟ้า ทรัพย์บุญเรือง, จินตวัฒน์ ศิริรัตน์","Thammasat University Research",2020,-,-,-,-
﻿131,"หนึ่งแถบหนึ่งเส้นทาง: มองผ่านมาเลเซียบนเส้นทางความสัมพันธ์ด้านเศรษฐกิจและการเมืองภายในประเทศที่มีต่อจีน: รายงานการวิจัยฉบับสมบูรณ์","จุฬณี ตันติกุลานันท์","Thammasat University Research",2020,-,-,-,-
132,"Dynamics of urban policy borrowing in Thai secondary cities: full report","Napong Rugkhapan, นพงศ์ รักขพันธุ์","Thammasat University Research",2020,-,-,-,-
133,"การขับเคลื่อนนโยบายความร่วมมือด้านการศึกษาของไทยสู่ประชาคมอาเซียน: กรณีศึกษาโครงการโรงเรียนคู่พัฒนาไทย-อินโดนีเซีย","อำภา แก้วกำกง","Thammasat University Research",2022,-,-,-,-
134,"Deficiencies in the law on unfair contract terms in Thailand and practical ways for amendment: a final research report","Pinai Nanakorn","Thammasat University Research",2021,-,-,-,-
135,"การศึกษาแรงจูงใจที่มีผลต่อการเรียนภาษาจีนของนักเรียนโรงเรียนสาธิตแห่งมหาวิทยาลัยธรรมศาสตร์: รายงานการวิจัยฉบับสมบูรณ์","ชุติมา เข็มเจริญ, ปริญญา มงคลพาณิชย์","Thammasat University Research",2025,-,-,-,-
136,"การพัฒนาแนวทางการเพิ่มประสิทธิภาพด้านการจัดซื้อจัดจ้างและการบริหารพัสดุของผู้ปฏิบัติงานพัสดุในมหาวิทยาลัยธรรมศาสตร์: รายงานวิจัยฉบับสมบูรณ์","ทศพล ถาวร, Thodsapon Thaworn","Thammasat University Research",2023,-,-,-,-
137,คู่มือการใช้เกมโลเคชันเพื่อประกอบการเรียนเรื่องกราฟและความสัมพันธ์เชิงเส้น,"ริฎวัน อุเด็น, จุฑารัตน์ จอมเมืองบุตร","Thammasat University Research",2025,-,-,-,-
